iter	Passed	Remaining
0	24	17700
1	46	16969
2	64	15661
3	83	15233
4	102	14981
5	122	14882
6	176	18310
7	204	18515
8	225	18193
9	244	17710
10	262	17221
11	280	16893
12	301	16696
13	320	16457
14	338	16216
15	355	15943
16	375	15837
17	394	15707
18	413	15542
19	431	15388
20	448	15211
21	465	15055
22	481	14889
23	499	14777
24	516	14646
25	538	14658
26	554	14517
27	571	14405
28	587	14290
29	603	14163
30	620	14064
31	637	13975
32	652	13868
33	668	13765
34	684	13670
35	699	13571
36	717	13523
37	734	13457
38	752	13414
39	769	13356
40	788	13323
41	804	13255
42	821	13196
43	836	13123
44	852	13052
45	866	12962
46	882	12899
47	899	12856
48	914	12789
49	931	12742
50	947	12689
51	985	12931
52	1014	13041
53	1047	13191
54	1070	13212
55	1093	13240
56	1109	13176
57	1125	13121
58	1142	13070
59	1160	13032
60	1179	13011
61	1200	13007
62	1218	12977
63	1236	12948
64	1255	12918
65	1272	12878
66	1291	12856
67	1308	12815
68	1324	12767
69	1340	12712
70	1356	12669
71	1373	12628
72	1390	12589
73	1406	12548
74	1423	12506
75	1438	12456
76	1456	12430
77	1471	12378
78	1486	12327
79	1501	12275
80	1517	12229
81	1532	12181
82	1546	12133
83	1562	12093
84	1578	12050
85	1594	12012
86	1609	11971
87	1626	11936
88	1641	11896
89	1656	11855
90	1671	11809
91	1686	11766
92	1704	11747
93	1721	11718
94	1737	11688
95	1754	11660
96	1772	11639
97	1791	11624
98	1809	11607
99	1826	11580
100	1846	11572
101	1863	11543
102	1879	11516
103	1895	11484
104	1915	11472
105	1931	11440
106	1947	11410
107	1966	11399
108	1984	11379
109	2003	11363
110	2021	11343
111	2038	11321
112	2055	11296
113	2074	11282
114	2092	11262
115	2109	11238
116	2129	11228
117	2147	11208
118	2162	11177
119	2179	11150
120	2196	11126
121	2213	11101
122	2229	11073
123	2246	11050
124	2263	11026
125	2279	11000
126	2296	10978
127	2313	10953
128	2329	10923
129	2348	10912
130	2366	10894
131	2383	10869
132	2401	10849
133	2420	10838
134	2439	10823
135	2457	10807
136	2477	10797
137	2495	10778
138	2513	10761
139	2530	10737
140	2548	10719
141	2567	10703
142	2584	10682
143	2600	10656
144	2619	10640
145	2636	10618
146	2655	10602
147	2674	10591
148	2697	10592
149	2718	10584
150	2734	10557
151	2749	10528
152	2764	10498
153	2780	10471
154	2797	10451
155	2813	10425
156	2829	10397
157	2843	10365
158	2858	10338
159	2873	10308
160	2889	10284
161	2906	10261
162	2922	10237
163	2938	10213
164	2954	10188
165	2971	10166
166	2988	10145
167	3006	10130
168	3026	10117
169	3042	10095
170	3063	10085
171	3082	10071
172	3100	10054
173	3117	10031
174	3133	10008
175	3148	9983
176	3164	9959
177	3180	9935
178	3196	9910
179	3211	9883
180	3227	9859
181	3242	9834
182	3258	9810
183	3274	9789
184	3289	9760
185	3303	9734
186	3319	9709
187	3333	9682
188	3348	9656
189	3364	9632
190	3378	9604
191	3393	9578
192	3408	9553
193	3423	9530
194	3439	9507
195	3454	9482
196	3470	9461
197	3485	9434
198	3501	9412
199	3515	9386
200	3530	9362
201	3547	9342
202	3562	9317
203	3578	9296
204	3596	9281
205	3612	9258
206	3627	9236
207	3644	9216
208	3663	9201
209	3678	9179
210	3695	9159
211	3712	9140
212	3731	9126
213	3748	9108
214	3766	9092
215	3784	9076
216	3803	9061
217	3820	9043
218	3837	9023
219	3853	9003
220	3870	8984
221	3889	8969
222	3907	8954
223	3925	8936
224	3944	8924
225	3962	8906
226	3980	8889
227	3999	8875
228	4017	8859
229	4035	8842
230	4055	8830
231	4074	8815
232	4093	8801
233	4111	8785
234	4130	8769
235	4148	8753
236	4165	8736
237	4182	8715
238	4199	8697
239	4214	8673
240	4230	8653
241	4244	8630
242	4261	8610
243	4277	8589
244	4292	8568
245	4308	8547
246	4325	8528
247	4341	8507
248	4359	8491
249	4377	8473
250	4393	8454
251	4409	8434
252	4427	8417
253	4445	8400
254	4462	8382
255	4478	8361
256	4494	8342
257	4512	8325
258	4529	8306
259	4544	8285
260	4560	8265
261	4576	8244
262	4591	8222
263	4606	8201
264	4622	8181
265	4638	8160
266	4653	8138
267	4667	8116
268	4684	8097
269	4700	8077
270	4716	8058
271	4732	8038
272	4747	8016
273	4762	7996
274	4781	7979
275	4801	7967
276	4817	7947
277	4832	7926
278	4848	7907
279	4866	7890
280	4890	7883
281	4906	7863
282	4922	7844
