,date,risk_value,available_value,capital,value_to_risk,value_to_safe,floor_value,cushion,risky_w
0,2022-01-01,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
1,2022-01-02,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
2,2022-01-03,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
3,2022-01-04,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
4,2022-01-05,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
5,2022-01-06,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
6,2022-01-07,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
7,2022-01-08,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
8,2022-01-09,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
9,2022-01-10,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
10,2022-01-11,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
11,2022-01-12,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
12,2022-01-13,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
13,2022-01-14,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
14,2022-01-15,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
15,2022-01-16,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
16,2022-01-17,5000.0,5000.0,10000.0,10000.0,0.0,0,1.0,1.0
17,2022-01-18,5017.831069044269,5000.0,10017.831069044269,10000.0,0.0,0,1.0,1.0
18,2022-01-19,4935.830662424807,5000.0,9935.830662424807,10017.831069044269,0.0,0,1.0,1.0
19,2022-01-20,4819.82800660259,5000.0,9819.82800660259,9935.830662424807,0.0,0,1.0,1.0
20,2022-01-21,4317.9989298988985,5000.0,9317.998929898898,9819.82800660259,0.0,0,1.0,1.0
21,2022-01-22,4155.222003325938,5000.0,9155.222003325938,9317.998929898898,0.0,0,1.0,1.0
22,2022-01-23,4294.213113145894,5000.0,9294.213113145894,9155.222003325938,0.0,0,1.0,1.0
23,2022-01-24,4343.476624830989,5000.0,9343.47662483099,9294.213113145894,0.0,0,1.0,1.0
24,2022-01-25,4378.77977196136,5000.0,9378.779771961359,9343.47662483099,0.0,0,1.0,1.0
25,2022-01-26,4361.128790790495,5000.0,9361.128790790495,9378.779771961359,0.0,0,1.0,1.0
26,2022-01-27,4402.686437155729,5000.0,9402.68643715573,9361.128790790495,0.0,0,1.0,1.0
27,2022-01-28,4468.615185862533,5000.0,9468.615185862533,9402.68643715573,0.0,0,1.0,1.0
28,2022-01-29,4521.96384878116,5000.0,9521.96384878116,9468.615185862533,0.0,0,1.0,1.0
29,2022-01-30,4488.187894208801,5000.0,9488.1878942088,9521.96384878116,0.0,0,1.0,1.0
30,2022-01-31,4557.514616737461,5000.0,9557.514616737462,9488.1878942088,0.0,0,1.0,1.0
31,2022-02-01,4584.491069300182,5000.0,9584.491069300182,9557.514616737462,0.0,0,1.0,1.0
32,2022-02-02,4371.438821542869,5000.0,9371.43882154287,9584.491069300182,0.0,0,1.0,1.0
33,2022-02-03,4420.637169852721,5000.0,9420.637169852722,9371.43882154287,0.0,0,1.0,1.0
34,2022-02-04,4925.669915041176,5000.0,9925.669915041177,9420.637169852722,0.0,0,1.0,1.0
35,2022-02-05,4902.962255951311,5000.0,9902.962255951312,9925.669915041177,0.0,0,1.0,1.0
36,2022-02-06,5021.237336386613,5000.0,10021.237336386614,9902.962255951312,0.0,0,1.0,1.0
37,2022-02-07,5194.112216545241,5000.0,10194.11221654524,10021.237336386614,0.0,0,1.0,1.0
38,2022-02-08,5218.16342595379,5000.0,10218.16342595379,10194.11221654524,0.0,0,1.0,1.0
39,2022-02-09,5257.22946180739,5000.0,10257.22946180739,10218.16342595379,0.0,0,1.0,1.0
40,2022-02-10,5153.290323925953,5000.0,10153.290323925954,10257.22946180739,0.0,0,1.0,1.0
41,2022-02-11,5020.39139729707,5000.0,10020.39139729707,10153.290323925954,0.0,0,1.0,1.0
42,2022-02-12,5001.925281541325,5000.0,10001.925281541324,10020.39139729707,0.0,0,1.0,1.0
43,2022-02-13,4982.469867270498,5000.0,9982.469867270498,10001.925281541324,0.0,0,1.0,1.0
44,2022-02-14,5039.609853839734,5000.0,10039.609853839735,9982.469867270498,0.0,0,1.0,1.0
45,2022-02-15,5277.624413470383,5000.0,10277.624413470383,10039.609853839735,0.0,0,1.0,1.0
46,2022-02-16,5198.089552012458,5000.0,10198.089552012458,10277.624413470383,0.0,0,1.0,1.0
47,2022-02-17,4800.254113467681,5000.0,9800.254113467681,10198.089552012458,0.0,0,1.0,1.0
48,2022-02-18,4736.126243494918,5000.0,9736.126243494917,9800.254113467681,0.0,0,1.0,1.0
49,2022-02-19,4748.534534930175,5000.0,9748.534534930175,9736.126243494917,0.0,0,1.0,1.0
50,2022-02-20,4548.035122822299,5000.0,9548.035122822299,9748.534534930175,0.0,0,1.0,1.0
51,2022-02-21,4384.684758547183,5000.0,9384.684758547184,9548.035122822299,0.0,0,1.0,1.0
52,2022-02-22,4529.4860718616965,5000.0,9529.486071861696,9384.684758547184,0.0,0,1.0,1.0
53,2022-02-23,4413.338871825299,5000.0,9413.338871825299,9529.486071861696,0.0,0,1.0,1.0
54,2022-02-24,4540.964304213913,5000.0,9540.964304213914,9413.338871825299,0.0,0,1.0,1.0
55,2022-02-25,4646.642711820067,5000.0,9646.642711820066,9540.964304213914,0.0,0,1.0,1.0
56,2022-02-26,4634.504552194915,5000.0,9634.504552194914,9646.642711820066,0.0,0,1.0,1.0
57,2022-02-27,4466.542990529747,5000.0,9466.542990529746,9634.504552194914,0.0,0,1.0,1.0
58,2022-02-28,5113.547773758448,5000.0,10113.547773758448,9466.542990529746,0.0,0,1.0,1.0
59,2022-03-01,5262.973317138061,5000.0,10262.973317138061,10113.547773758448,0.0,0,1.0,1.0
60,2022-03-02,5200.390411552921,5000.0,10200.390411552922,10262.973317138061,0.0,0,1.0,1.0
61,2022-03-03,5029.901695716894,5000.0,10029.901695716893,10200.390411552922,0.0,0,1.0,1.0
62,2022-03-04,4638.28876711368,5000.0,9638.28876711368,10029.901695716893,0.0,0,1.0,1.0
63,2022-03-05,4667.825547929202,5000.0,9667.825547929202,9638.28876711368,0.0,0,1.0,1.0
64,2022-03-06,4552.053925891943,5000.0,9552.053925891943,9667.825547929202,0.0,0,1.0,1.0
65,2022-03-07,4500.775088728821,5000.0,9500.77508872882,9552.053925891943,0.0,0,1.0,1.0
66,2022-03-08,4588.76104756168,5000.0,9588.76104756168,9500.77508872882,0.0,0,1.0,1.0
67,2022-03-09,4969.206158436571,5000.0,9969.206158436571,9588.76104756168,0.0,0,1.0,1.0
68,2022-03-10,4670.673779821722,5000.0,9670.673779821722,9969.206158436571,0.0,0,1.0,1.0
69,2022-03-11,4588.635459965754,5000.0,9588.635459965753,9670.673779821722,0.0,0,1.0,1.0
70,2022-03-12,4597.851930802656,5000.0,9597.851930802655,9588.635459965753,0.0,0,1.0,1.0
71,2022-03-13,4475.816331221407,5000.0,9475.816331221407,9597.851930802655,0.0,0,1.0,1.0
72,2022-03-14,4700.218854157732,5000.0,9700.21885415773,9475.816331221407,0.0,0,1.0,1.0
73,2022-03-15,4653.888879147293,5000.0,9653.888879147293,9700.21885415773,0.0,0,1.0,1.0
74,2022-03-16,4871.140017847655,5000.0,9871.140017847654,9653.888879147293,0.0,0,1.0,1.0
75,2022-03-17,4847.90631260127,5000.0,9847.90631260127,9871.140017847654,0.0,0,1.0,1.0
76,2022-03-18,4947.382351672755,5000.0,9947.382351672755,9847.90631260127,0.0,0,1.0,1.0
77,2022-03-19,4999.941945356599,5000.0,9999.941945356599,9947.382351672755,0.0,0,1.0,1.0
78,2022-03-20,4888.68792240677,5000.0,9888.68792240677,9999.941945356599,0.0,0,1.0,1.0
79,2022-03-21,4857.900004786546,5000.0,9857.900004786545,9888.68792240677,0.0,0,1.0,1.0
