,date,risk_value,available_value,capital,value_to_risk,value_to_safe,floor_value,cushion,risky_w
0,2022-01-01,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
1,2022-01-02,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
2,2022-01-03,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
3,2022-01-04,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
4,2022-01-05,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
5,2022-01-06,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
6,2022-01-07,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
7,2022-01-08,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
8,2022-01-09,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
9,2022-01-10,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
10,2022-01-11,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
11,2022-01-12,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
12,2022-01-13,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
13,2022-01-14,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
14,2022-01-15,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
15,2022-01-16,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
16,2022-01-17,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
17,2022-01-18,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
18,2022-01-19,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
19,2022-01-20,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
20,2022-01-21,0.0,10000.0,10000.0,10000.0,0.0,0,1.0,1.0
21,2022-01-22,5000.0,5000.0,10000.0,10000.0,0.0,0,1.0,1.0
22,2022-01-23,5157.687253613666,5000.0,10157.687253613665,10000.0,0.0,0,1.0,1.0
23,2022-01-24,4819.316688567674,5000.0,9819.316688567673,10157.687253613665,0.0,0,1.0,1.0
24,2022-01-25,4756.898817345598,5000.0,9756.898817345598,9819.316688567673,0.0,0,1.0,1.0
25,2022-01-26,4868.593955321945,5000.0,9868.593955321945,9756.898817345598,0.0,0,1.0,1.0
26,2022-01-27,4753.613666228646,5000.0,9753.613666228646,9868.593955321945,0.0,0,1.0,1.0
27,2022-01-28,4894.875164257556,5000.0,9894.875164257555,9753.613666228646,0.0,0,1.0,1.0
28,2022-01-29,5049.27726675427,5000.0,10049.27726675427,9894.875164257555,0.0,0,1.0,1.0
29,2022-01-30,4858.738501971091,5000.0,9858.738501971091,10049.27726675427,0.0,0,1.0,1.0
30,2022-01-31,4832.45729303548,5000.0,9832.45729303548,9858.738501971091,0.0,0,1.0,1.0
31,2022-02-01,4799.605781865966,5000.0,9799.605781865965,9832.45729303548,0.0,0,1.0,1.0
32,2022-02-02,4760.183968462549,5000.0,9760.183968462548,9799.605781865965,0.0,0,1.0,1.0
33,2022-02-03,4825.886990801578,5000.0,9825.886990801577,9760.183968462548,0.0,0,1.0,1.0
34,2022-02-04,5427.069645203679,5000.0,10427.06964520368,9825.886990801577,0.0,0,1.0,1.0
35,2022-02-05,5535.479632063075,5000.0,10535.479632063074,10427.06964520368,0.0,0,1.0,1.0
36,2022-02-06,5703.022339027595,5000.0,10703.022339027595,10535.479632063074,0.0,0,1.0,1.0
37,2022-02-07,6074.244415243102,5000.0,11074.244415243102,10703.022339027595,0.0,0,1.0,1.0
38,2022-02-08,5870.565045992115,5000.0,10870.565045992116,11074.244415243102,0.0,0,1.0,1.0
39,2022-02-09,6110.381077529567,5000.0,11110.381077529568,10870.565045992116,0.0,0,1.0,1.0
40,2022-02-10,5883.705650459921,5000.0,10883.70565045992,11110.381077529568,0.0,0,1.0,1.0
41,2022-02-11,5561.760840998687,5000.0,10561.760840998686,10883.70565045992,0.0,0,1.0,1.0
42,2022-02-12,5709.592641261499,5000.0,10709.592641261499,10561.760840998686,0.0,0,1.0,1.0
43,2022-02-13,5706.307490144546,5000.0,10706.307490144547,10709.592641261499,0.0,0,1.0,1.0
44,2022-02-14,5785.15111695138,5000.0,10785.15111695138,10706.307490144547,0.0,0,1.0,1.0
45,2022-02-15,5995.400788436268,5000.0,10995.400788436269,10785.15111695138,0.0,0,1.0,1.0
46,2022-02-16,5883.705650459921,5000.0,10883.70565045992,10995.400788436269,0.0,0,1.0,1.0
47,2022-02-17,5377.792378449409,5000.0,10377.792378449409,10883.70565045992,0.0,0,1.0,1.0
48,2022-02-18,5259.526938239159,5000.0,10259.52693823916,10377.792378449409,0.0,0,1.0,1.0
49,2022-02-19,5292.378449408673,5000.0,10292.378449408672,10259.52693823916,0.0,0,1.0,1.0
50,2022-02-20,5049.27726675427,5000.0,10049.27726675427,10292.378449408672,0.0,0,1.0,1.0
51,2022-02-21,4855.45335085414,5000.0,9855.453350854139,10049.27726675427,0.0,0,1.0,1.0
52,2022-02-22,4957.293035479633,5000.0,9957.293035479634,9855.453350854139,0.0,0,1.0,1.0
53,2022-02-23,4885.019710906701,5000.0,9885.019710906701,9957.293035479634,0.0,0,1.0,1.0
54,2022-02-24,4829.172141918529,5000.0,9829.172141918529,9885.019710906701,0.0,0,1.0,1.0
55,2022-02-25,5055.847568988173,5000.0,10055.847568988174,9829.172141918529,0.0,0,1.0,1.0
56,2022-02-26,5183.968462549278,5000.0,10183.968462549277,10055.847568988174,0.0,0,1.0,1.0
57,2022-02-27,4947.437582128778,5000.0,9947.437582128778,10183.968462549277,0.0,0,1.0,1.0
58,2022-02-28,5597.897503285151,5000.0,10597.897503285152,9947.437582128778,0.0,0,1.0,1.0
59,2022-03-01,5831.143232588699,5000.0,10831.1432325887,10597.897503285152,0.0,0,1.0,1.0
60,2022-03-02,5837.713534822602,5000.0,10837.713534822602,10831.1432325887,0.0,0,1.0,1.0
61,2022-03-03,5647.174770039423,5000.0,10647.174770039423,10837.713534822602,0.0,0,1.0,1.0
62,2022-03-04,5252.956636005257,5000.0,10252.956636005256,10647.174770039423,0.0,0,1.0,1.0
63,2022-03-05,5453.35085413929,5000.0,10453.350854139291,10252.956636005256,0.0,0,1.0,1.0
64,2022-03-06,5220.105124835743,5000.0,10220.105124835743,10453.350854139291,0.0,0,1.0,1.0
65,2022-03-07,5183.968462549278,5000.0,10183.968462549277,10220.105124835743,0.0,0,1.0,1.0
66,2022-03-08,6672.141918528252,5000.0,11672.141918528252,10183.968462549277,0.0,0,1.0,1.0
67,2022-03-09,6192.5098554533515,5000.0,11192.50985545335,11672.141918528252,0.0,0,1.0,1.0
68,2022-03-10,5867.279894875164,5000.0,10867.279894875164,11192.50985545335,0.0,0,1.0,1.0
69,2022-03-11,5604.467805519054,5000.0,10604.467805519054,10867.279894875164,0.0,0,1.0,1.0
70,2022-03-12,6090.670170827859,5000.0,11090.67017082786,10604.467805519054,0.0,0,1.0,1.0
71,2022-03-13,5768.725361366623,5000.0,10768.725361366622,11090.67017082786,0.0,0,1.0,1.0
72,2022-03-14,6107.095926412615,5000.0,11107.095926412614,10768.725361366622,0.0,0,1.0,1.0
73,2022-03-15,6011.826544021025,5000.0,11011.826544021025,11107.095926412614,0.0,0,1.0,1.0
74,2022-03-16,6218.791064388963,5000.0,11218.791064388963,11011.826544021025,0.0,0,1.0,1.0
75,2022-03-17,6162.943495400788,5000.0,11162.943495400788,11218.791064388963,0.0,0,1.0,1.0
76,2022-03-18,6409.329829172142,5000.0,11409.329829172142,11162.943495400788,0.0,0,1.0,1.0
77,2022-03-19,6484.888304862024,5000.0,11484.888304862023,11409.329829172142,0.0,0,1.0,1.0
78,2022-03-20,6399.474375821288,5000.0,11399.474375821288,11484.888304862023,0.0,0,1.0,1.0
79,2022-03-21,6291.064388961892,5000.0,11291.064388961891,11399.474375821288,0.0,0,1.0,1.0
80,2022-03-22,6366.622864651775,5000.0,11366.622864651774,11291.064388961891,0.0,0,1.0,1.0
